Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2022-10-10,DZA,Algeria,,-22.965662,18.486165,166774,4080,,162694,,,False,False,NA
2021-09-20,DZA,Algeria,,18.736509,-70.161744,355150,4796,,350354,,,False,False,DO
2022-10-10,DZA,Algeria,,30.441861,69.359766,1572972,30623,,1542349,,,False,False,PK
2022-10-10,DZA,Algeria,,-7.018792,51.242138,47141,169,,46972,,,False,False,SC
2022-03-11,DZA,Algeria,,61.523111,-74.9,17242043,359585,,16882458,,,False,False,RU
2022-10-10,DZA,Algeria,,9.148086,40.493059,493682,7572,,486110,,,False,False,ET
2022-10-10,DZA,Algeria,,42.542268,1.596865,46275,155,,46120,,,False,False,AD
2022-10-10,DZA,Algeria,,21.125681,82.794998,44614437,528814,,44085623,,,False,False,IN
2022-10-10,DZA,Algeria,,13.183551,-59.534649,102580,560,,102020,,,False,False,BB
2022-10-10,DZA,Algeria,,21.692252,-71.803756,6380,36,,6344,,,False,False,TC
2022-10-10,DZA,Algeria,,-21.123889,165.846901,74315,314,,74001,,,False,False,NC
2022-10-10,DZA,Algeria,,,,6389,1,,6388,,,False,False,
2022-10-10,DZA,Algeria,,,,11976,14,,11962,,,False,False,VU
2022-10-10,DZA,Algeria,,19.512365,-80.580024,30809,34,,30775,,,False,False,KY
2022-10-10,DZA,Algeria,,17.363183,-61.789423,9098,146,,8952,,,False,False,AG
2022-10-10,DZA,Algeria,,-32.53152,-55.758328,986446,7495,,978951,,,False,False,UY
2022-10-10,DZA,Algeria,,24.885993,-76.709892,37309,833,,36476,,,False,False,BS
2022-10-10,DZA,Algeria,,4.577317,-74.298973,6307372,141794,,6165578,,,False,False,CO
2022-10-10,DZA,Algeria,,,,221618,1044,,220574,,,False,False,
2022-10-10,DZA,Algeria,,,,15305,17,,15288,,,False,False,MH
2022-04-20,DZA,Algeria,,12.517713,-69.965112,34446,271,,34175,,,False,False,AW
2022-10-10,DZA,Algeria,,23.68764,90.351002,2030090,29384,,2000706,,,False,False,BD
2022-10-10,DZA,Algeria,,58.596209,25.023778,603347,2692,,600655,,,False,False,EE0
2022-10-10,DZA,Algeria,,47.164638,19.508944,2107907,47576,,2060331,,,False,False,HU
2022-10-10,DZA,Algeria,,,,5481,6,,5475,,,False,False,
